epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6843,3.34546,5.52654,4.24652,0.00036,0.09754,0.0002,6e-05,5.08584,12.4626,4.18168,0.000648649,0.000648649,0.000648649
2,157.998,3.03543,3.96926,3.51056,0.0003,0.08561,0.00017,6e-05,5.07834,6.89295,4.08719,0.0012285,0.0012285,0.0012285
3,296.418,2.81002,3.13022,2.91672,0.32048,0.27789,0.2168,0.04106,2.7468,2.75872,2.56684,0.00172036,0.00172036,0.00172036
4,501.652,2.66308,2.68978,2.69089,0.38985,0.48351,0.31362,0.07445,2.6632,3.59552,2.29093,0.001604,0.001604,0.001604
5,653.086,2.60649,2.43199,2.51481,0.4721,0.40912,0.28876,0.07,2.64964,4.58289,2.30783,0.001472,0.001472,0.001472
6,741.689,2.31385,2.25156,2.35992,0.50036,0.48,0.37298,0.10633,2.43118,3.82184,2.10066,0.00134,0.00134,0.00134
7,832.219,2.2307,2.00269,2.2757,0.47177,0.52281,0.36092,0.10098,2.76531,2.10244,2.31155,0.001208,0.001208,0.001208
8,929.439,2.16736,1.84335,2.15955,0.52625,0.50434,0.45456,0.13446,2.43883,1.96073,2.02307,0.001076,0.001076,0.001076
9,1022.8,2.13457,1.75089,2.13057,0.45369,0.50386,0.36585,0.1088,2.76973,1.95991,2.24047,0.000944,0.000944,0.000944
10,1117.72,2.09159,1.6244,2.10514,0.54656,0.59649,0.49442,0.17476,2.49711,1.79746,2.08046,0.000812,0.000812,0.000812
11,1215.81,2.04022,1.5378,2.06429,0.58511,0.64842,0.52342,0.17561,2.45557,1.60591,2.05642,0.00068,0.00068,0.00068
12,1309.34,2.03287,1.51697,2.06194,0.50212,0.60211,0.43864,0.15922,2.4819,1.60016,2.07631,0.000548,0.000548,0.000548
13,1406.22,2.00449,1.42872,2.00211,0.62093,0.58105,0.50105,0.18455,2.38458,1.68724,1.99716,0.000416,0.000416,0.000416
14,1496.46,1.95578,1.38478,1.9658,0.62055,0.65185,0.56004,0.18943,2.35742,1.53875,1.98058,0.000284,0.000284,0.000284
15,1589.25,1.96001,1.36432,1.97143,0.65263,0.60912,0.5327,0.19419,2.3752,1.52012,1.97364,0.000152,0.000152,0.000152
