epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.469,2.59545,4.57568,3.25473,0.5342,0.5199,0.47327,0.14981,2.44086,2.08807,2.30179,0.000663043,0.000663043,0.000663043
2,209.917,2.07718,1.69901,1.98954,0.77444,0.73489,0.75552,0.2817,2.06143,2.86647,1.77946,0.00131643,0.00131643,0.00131643
3,309.465,1.93684,1.36345,1.85267,0.54585,0.65193,0.5213,0.18645,2.26407,1.51281,1.87115,0.00195649,0.00195649,0.00195649
4,407.398,1.84812,1.23488,1.7608,0.80919,0.83719,0.86057,0.38322,1.85014,1.14828,1.57365,0.00194006,0.00194006,0.00194006
5,509.158,1.75902,1.15738,1.68705,0.69488,0.82596,0.82047,0.37896,1.84466,1.144,1.55758,0.00192008,0.00192008,0.00192008
6,611.751,1.72189,1.11046,1.6606,0.70522,0.85544,0.79713,0.36186,1.81862,1.11891,1.5728,0.0019001,0.0019001,0.0019001
7,713.464,1.66214,1.08008,1.62258,0.7855,0.8275,0.85501,0.40144,1.78981,1.11141,1.53313,0.00188012,0.00188012,0.00188012
8,807.388,1.62539,1.05101,1.59439,0.80336,0.82667,0.85908,0.40846,1.78739,1.10669,1.52762,0.00186014,0.00186014,0.00186014
9,900.435,1.57818,1.01467,1.56142,0.79639,0.86877,0.88017,0.42107,1.75574,1.02628,1.51433,0.00184016,0.00184016,0.00184016
10,991.681,1.5466,0.97695,1.5447,0.86875,0.88,0.91062,0.46891,1.65159,0.95578,1.45753,0.00182018,0.00182018,0.00182018
11,1084.68,1.50346,0.9459,1.51195,0.83143,0.88772,0.89811,0.45683,1.68802,0.92567,1.487,0.0018002,0.0018002,0.0018002
12,1384.94,1.48125,0.92887,1.49872,0.83361,0.89965,0.9116,0.47849,1.61828,0.90781,1.43751,0.00178022,0.00178022,0.00178022
13,1469.79,1.44387,0.90835,1.47886,0.8612,0.90035,0.91025,0.48336,1.60565,0.90602,1.43165,0.00176024,0.00176024,0.00176024
14,1551.2,1.40582,0.87489,1.45355,0.86114,0.8786,0.91196,0.47641,1.61084,0.90474,1.42747,0.00174026,0.00174026,0.00174026
15,1632.13,1.38416,0.85584,1.43728,0.86845,0.86456,0.90788,0.4755,1.62181,0.9111,1.43784,0.00172028,0.00172028,0.00172028
16,1713.45,1.34272,0.83559,1.41363,0.86732,0.90825,0.92241,0.47526,1.63384,0.87831,1.45079,0.0017003,0.0017003,0.0017003
17,1798.98,1.31285,0.81244,1.39876,0.82936,0.85609,0.90103,0.47619,1.60172,0.88979,1.44129,0.00168032,0.00168032,0.00168032
18,1884.95,1.27711,0.78804,1.37839,0.8835,0.88281,0.92006,0.48869,1.62199,0.84342,1.45222,0.00166034,0.00166034,0.00166034
19,1971.18,1.25068,0.76988,1.36032,0.88367,0.87439,0.91328,0.48553,1.60953,0.87105,1.42975,0.00164036,0.00164036,0.00164036
20,2064.21,1.22298,0.74969,1.33917,0.87759,0.89047,0.91588,0.49655,1.61296,0.83277,1.43501,0.00162038,0.00162038,0.00162038
21,2157.98,1.18089,0.72505,1.31772,0.86984,0.8817,0.90804,0.47611,1.61841,0.84172,1.44616,0.0016004,0.0016004,0.0016004
22,2250.59,1.15232,0.71019,1.29635,0.88134,0.90246,0.92587,0.50563,1.61113,0.79043,1.44608,0.00158042,0.00158042,0.00158042
23,2339.94,1.1172,0.68613,1.27639,0.87422,0.89258,0.91011,0.49073,1.62104,0.81458,1.45758,0.00156044,0.00156044,0.00156044
24,2428.66,1.08133,0.66893,1.25545,0.87546,0.89825,0.91849,0.48918,1.6129,0.80117,1.45694,0.00154046,0.00154046,0.00154046
25,2518.85,1.0587,0.64978,1.24113,0.87032,0.89013,0.91643,0.49577,1.60727,0.76525,1.47019,0.00152048,0.00152048,0.00152048
26,2616.23,1.02615,0.63137,1.21909,0.85499,0.89372,0.91985,0.50063,1.58868,0.78768,1.4585,0.0015005,0.0015005,0.0015005
27,11394.1,0.98718,0.61189,1.19278,0.88769,0.88351,0.92197,0.50554,1.59752,0.76948,1.46236,0.00148052,0.00148052,0.00148052
28,11479,0.95672,0.59658,1.17694,0.88977,0.89333,0.92203,0.49296,1.62396,0.77618,1.46405,0.00146054,0.00146054,0.00146054
29,11567.5,0.9326,0.58149,1.15974,0.8514,0.87439,0.90704,0.48646,1.62839,0.79654,1.49968,0.00144056,0.00144056,0.00144056
30,11655,0.91355,0.56979,1.14766,0.88,0.88,0.92147,0.50347,1.61668,0.78043,1.48149,0.00142058,0.00142058,0.00142058
31,11743.8,0.8778,0.55058,1.12626,0.8976,0.88584,0.91317,0.49667,1.63398,0.75354,1.49645,0.0014006,0.0014006,0.0014006
32,11830.2,0.85682,0.53779,1.11223,0.88714,0.88811,0.91135,0.50203,1.63194,0.74637,1.49493,0.00138062,0.00138062,0.00138062
33,11919.1,0.83482,0.52692,1.09497,0.86924,0.87228,0.90761,0.502,1.64337,0.75227,1.50845,0.00136064,0.00136064,0.00136064
34,12008.7,0.81465,0.51585,1.08389,0.87451,0.86737,0.90662,0.4912,1.64272,0.76085,1.5268,0.00134066,0.00134066,0.00134066
35,40219.4,0.78537,0.49774,1.06754,0.88534,0.8832,0.91135,0.49744,1.62801,0.74146,1.51309,0.00132068,0.00132068,0.00132068
36,40304.9,0.77322,0.48585,1.05412,0.8756,0.8792,0.90248,0.49304,1.66345,0.74883,1.53965,0.0013007,0.0013007,0.0013007
